date,diamond price
7/8/2019,10105.81
7/7/2019,10113.72
7/6/2019,10116.65
7/5/2019,10118.12
7/4/2019,10119.93
7/3/2019,10125.53
7/2/2019,10129.34
7/1/2019,10138.82
6/30/2019,10140.39
6/29/2019,10139.78
6/28/2019,10143.47
6/27/2019,10141.03
6/26/2019,10148.51
6/25/2019,10165.67
6/24/2019,10157.89
6/23/2019,10158.76
6/22/2019,10163.44
6/21/2019,10167.82
6/20/2019,10174.82
6/19/2019,10171.44
6/18/2019,10171.72
6/17/2019,10169.74
6/16/2019,10171.79
6/15/2019,10175.77
6/14/2019,10178.22
6/13/2019,10183.34
6/12/2019,10188.76
6/11/2019,10192.18
6/10/2019,10192.18
6/9/2019,10192.18
6/8/2019,10192.33
6/7/2019,10193.49
6/6/2019,10195.57
6/5/2019,10200.69
6/4/2019,10205.58
6/3/2019,10198.76
6/2/2019,10202.55
6/1/2019,10208.45
5/31/2019,10207.12
5/30/2019,10212.14
5/29/2019,10216.63
5/28/2019,10221.64
5/27/2019,10220.33
5/26/2019,10229.72
5/25/2019,10257.36
5/24/2019,10256.45
5/23/2019,10258.37
5/22/2019,10283.12
5/21/2019,10299.53
5/20/2019,10312.92
5/19/2019,10312.92
5/18/2019,10318.74
5/17/2019,10326.01
5/16/2019,10328.62
5/15/2019,10332.47
5/14/2019,10330.86
5/13/2019,10329.43
5/12/2019,10330.71
5/11/2019,10218.774
5/10/2019,10218.609
5/9/2019,10217.924
5/8/2019,10221.822
5/7/2019,10224.562
5/6/2019,10231.468
5/5/2019,10235.523
5/4/2019,10233.991
5/3/2019,10239.062
5/2/2019,10240.287
5/1/2019,10247.128
4/30/2019,10249.521
4/29/2019,10250.563
4/28/2019,10250.479
4/27/2019,10256.355
4/26/2019,10256.231
4/25/2019,10252.362
4/24/2019,10252.891
4/23/2019,10257.779
4/22/2019,10264.377
4/21/2019,10260.361
4/20/2019,10263.589
4/19/2019,10259.578
4/18/2019,10258.304
4/17/2019,10261.491
4/16/2019,10263.366
4/15/2019,10263.723
4/14/2019,10269.652
4/13/2019,10267.607
4/12/2019,10264.797
4/11/2019,10268.874
4/10/2019,10268.731
4/9/2019,10269.692
4/8/2019,10272.026
4/7/2019,10273.795
4/6/2019,10276.099
4/5/2019,10272.698
4/4/2019,10273.404
4/3/2019,10274.53
4/2/2019,10274.444
4/1/2019,10275.831
3/31/2019,10276.613
3/30/2019,10280.026
3/29/2019,10275.763
3/28/2019,10268.444
3/27/2019,10258.229
3/26/2019,10231.598
3/25/2019,10232.821
3/24/2019,10231.769
3/23/2019,10233.174
3/22/2019,10233.55
3/21/2019,10231.129
3/20/2019,10229.788
3/19/2019,10234.641
3/18/2019,10235.909
3/17/2019,10235.684
3/16/2019,10244.204
3/15/2019,10259.911
3/14/2019,10264.551
3/13/2019,10278.512
3/12/2019,10285.343
3/11/2019,10283.069
3/10/2019,10281.438
3/9/2019,10279.822
3/8/2019,10276.975
3/7/2019,10277.017
3/6/2019,10280.251
3/5/2019,10284.649
3/4/2019,10283.891
3/3/2019,10283.443
3/2/2019,10287.57
3/1/2019,10290.061
2/28/2019,10285.805
2/27/2019,10284.917
2/26/2019,10284.765
2/25/2019,10281.568
2/24/2019,10280.825
2/23/2019,10277.781
2/22/2019,10271.094
2/21/2019,10270.659
2/20/2019,10270.284
2/19/2019,10272.666
2/18/2019,10270.828
2/17/2019,10273.483
2/16/2019,10275.51
2/15/2019,10273.15
2/14/2019,10276.096
2/13/2019,10273.457
2/12/2019,10274.61
2/11/2019,10280.774
2/10/2019,10285.229
2/9/2019,10285.951
2/8/2019,10287.199
2/7/2019,10290.677
2/6/2019,10305.582
2/5/2019,10342.955
2/4/2019,10343.886
2/3/2019,10346.007
2/2/2019,10345.328
2/1/2019,10345.188
1/31/2019,10345.366
1/30/2019,10347.995
1/29/2019,10349.079
1/28/2019,10349.156
1/27/2019,10353.446
1/26/2019,10355.479
1/25/2019,10356.659
1/24/2019,10354.47
1/23/2019,10358.923
1/22/2019,10357.755
1/21/2019,10358.369
1/20/2019,10345.576
1/19/2019,10316.238
1/18/2019,10316.527
1/17/2019,10324.317
1/16/2019,10328.404
1/15/2019,10325.792
1/14/2019,10324.351
1/13/2019,10328.215
1/12/2019,10331.423
1/11/2019,10331.534
1/10/2019,10343.876
1/9/2019,10344.798
1/8/2019,10349.276
1/7/2019,10357.868
1/6/2019,10359.125
1/5/2019,10359.831
1/4/2019,10363.847
1/3/2019,10366.896
1/2/2019,10371.661
1/1/2019,10376.469
12/31/2018,10372.095
12/30/2018,10373.83
12/29/2018,10377.801
12/28/2018,10381.911
12/27/2018,10380.702
12/26/2018,10384.58
12/25/2018,10388.461
12/24/2018,10400.319
12/23/2018,10425.342
12/22/2018,10429.375
12/21/2018,10429.275
12/20/2018,10429.263
12/19/2018,10432.186
12/18/2018,10436.401
12/17/2018,10440.119
12/16/2018,10440.078
12/15/2018,10438.97
12/14/2018,10438.659
12/13/2018,10447.627
12/12/2018,10478.723
12/11/2018,10483.263
12/10/2018,10489.133
12/9/2018,10492.864
12/8/2018,10493.833
12/7/2018,10491.555
12/6/2018,10486.94
12/5/2018,10493.556
12/4/2018,10492.671
12/3/2018,10494.246
12/2/2018,10486.453
12/1/2018,10482.812
11/30/2018,10487.83
11/29/2018,10505.079
11/28/2018,10506.118
11/27/2018,10514.288
11/26/2018,10519.609
11/25/2018,10528.483
11/24/2018,10529.561
11/23/2018,10532.143
11/22/2018,10538.411
11/21/2018,10559.214
11/20/2018,10625.005
11/19/2018,10701.701
11/18/2018,10694.498
11/17/2018,10691.357
11/16/2018,10684.675
11/15/2018,10682.034
11/14/2018,10683.533
11/13/2018,10680.741
11/12/2018,10682.5
11/11/2018,10676.373
11/10/2018,10677.559
11/9/2018,10676.153
11/8/2018,10675.213
11/7/2018,10672.938
11/6/2018,10670.088
11/5/2018,10663.515
11/4/2018,10658.082
11/3/2018,10652.9
11/2/2018,10646.58
11/1/2018,10643.252
10/31/2018,10646.195
10/30/2018,10653.903
10/29/2018,10665.223
10/28/2018,10668.262
10/27/2018,10673.173
10/26/2018,10664.551
10/25/2018,10641.012
10/24/2018,10594.766
10/23/2018,10604.476
10/22/2018,10617.42
10/21/2018,10635.717
10/20/2018,10633.315
10/19/2018,10629.771
10/18/2018,10632.283
10/17/2018,10632.257
10/16/2018,10638.37
10/15/2018,10644.102
10/14/2018,10627.338
10/13/2018,10584.027
10/12/2018,10581.718
10/11/2018,10588.148
10/10/2018,10596.951
10/9/2018,10606.39
10/8/2018,10613.26
10/7/2018,10612.327
10/6/2018,10605.115
10/5/2018,10606.442
10/4/2018,10606.137
10/3/2018,10606.032
10/2/2018,10607.256
10/1/2018,10600.555
9/30/2018,10586.36
9/29/2018,10589.485
9/28/2018,10588.742
9/27/2018,10587.29
9/26/2018,10582.475
9/25/2018,10585.804
9/24/2018,10587.207
9/23/2018,10582.026
9/22/2018,10575.524
9/21/2018,10571.95
9/20/2018,10589.835
9/19/2018,10594.739
9/18/2018,10597.367
9/17/2018,10602.304
9/16/2018,10610.859
9/15/2018,10620.552
9/14/2018,10617.123
9/13/2018,10613.55
9/12/2018,10618.974
9/11/2018,10635.248
9/10/2018,10632.653
9/9/2018,10630.313
9/8/2018,10631.342
9/7/2018,10628.701
9/6/2018,10630.79
9/5/2018,10633.912
9/4/2018,10634.374
9/3/2018,10640.035
